RIEMANN HYPOTHESIS: 10,000 ZEROS
==================================================
1,14.134725142000001
2,21.022039638999999
3,25.010857580000000
4,30.424876126000001
5,32.935061588000003
6,37.586178158999999
7,40.918719011999997
8,43.327073280999997
9,48.005150880999999
10,49.773832478000003
11,52.970321478000002
12,56.446247696999997
13,59.347044003000001
14,60.831778524999997
15,65.112544048000004
16,67.079810529000000
17,69.546401711000001
18,72.067157674000001
19,75.704690698999997
20,77.144840068999997
21,79.337375019999996
22,82.910380853999996
23,84.735492980999993
24,87.425274612999999
25,88.809111208000004
26,92.491899270999994
27,94.651344041000002
28,95.870634228000000
29,98.831194217999993
30,101.317851005999998
31,103.725538040000004
32,105.446623052000007
33,107.168611184000000
34,111.029535542999994
35,111.874659176999998
36,114.320220914999993
37,116.226680321000003
38,118.790782866000001
39,121.370125001999995
40,122.946829293999997
41,124.256818554000006
42,127.516683880000002
43,129.578704200000004
44,131.087688530999998
45,133.497737203000014
46,134.756509752999989
47,138.116042055000008
48,139.736208951999998
49,141.123707403999987
50,143.111845807999998
51,146.000982486999987
52,147.422765343000009
53,150.053872264000006
54,150.925257611999996
55,153.024693810999992
56,156.112909293999991
57,157.597591818000012
58,158.849988171000007
59,161.188964137999989
60,163.030709687000012
61,165.537069188000004
62,167.184439978000000
63,169.094515416000007
64,169.911976479000003
65,173.411536519999999
66,174.754191523000003
67,176.441434297999990
68,178.377407776000013
69,179.916484020000013
70,182.207078483999993
71,184.874467847999995
72,185.598783677999990
73,187.228922584000003
74,189.416158655999993
75,192.026656360999993
76,193.079726604000001
77,195.265396680000009
78,196.876481840999986
79,198.015309675999987
80,201.264751944000011
81,202.493594513999994
82,204.189671803000010
83,205.394697202000003
84,207.906258887999996
85,209.576509716999993
86,211.690862594999999
87,213.347919359999992
88,214.547044782999990
89,216.169538507999988
90,219.067596349000013
91,220.714918839000006
92,221.430705555000003
93,224.007000255000008
94,224.983324670000002
95,227.421444280000003
96,229.337413306000002
97,231.250188699999995
98,231.987235252999994
99,233.693404178999998
100,236.524229665999997
101,247.212333259372343
102,282.403225691683019
103,307.148388848259117
104,310.025662369191707
105,334.123665128002756
106,342.098275335820574
107,391.379457971853924
108,396.250299407012335
109,401.959362985159260
110,405.220678038311689
111,451.377704901725735
112,454.016186635050474
113,460.016691603151230
114,465.736453543871733
115,467.492064369052514
116,500.371041268973556
117,506.394119848390176
118,513.581605619364950
119,517.518671439733907
120,525.041478607327463
